inc_success,dec_unsuccess,dec_success_nocase,eps,total_case_agent_0,total_case_agent_1
0.1,-0.1,-0.2,0,0.0,0.0
0.1,-0.1,-0.2,1,0.0,0.0
0.1,-0.1,-0.2,2,0.0,0.0
0.1,-0.1,-0.2,3,0.0,0.0
0.1,-0.1,-0.2,4,0.0,0.0
0.1,-0.1,-0.2,5,0.0,0.0
0.1,-0.1,-0.2,6,0.0,0.0
0.1,-0.1,-0.2,7,0.0,0.0
0.1,-0.1,-0.2,8,0.0,0.0
0.1,-0.1,-0.2,9,0.0,22.0
0.1,-0.1,-0.2,10,9.0,23.0
0.1,-0.1,-0.2,11,22.0,23.0
0.1,-0.1,-0.2,12,22.0,27.0
0.1,-0.1,-0.2,13,23.0,28.0
0.1,-0.1,-0.2,14,23.0,28.0
0.1,-0.1,-0.2,15,23.0,28.0
0.1,-0.1,-0.2,16,23.0,28.0
0.1,-0.1,-0.2,17,23.0,28.0
0.1,-0.1,-0.2,18,23.0,28.0
0.1,-0.1,-0.2,19,23.0,28.0
0.1,-0.1,-0.2,20,23.0,28.0
0.1,-0.1,-0.2,21,23.0,28.0
0.1,-0.1,-0.2,22,23.0,28.0
0.1,-0.1,-0.2,23,23.0,29.0
0.1,-0.1,-0.2,24,23.0,29.0
0.1,-0.1,-0.2,25,24.0,29.0
0.1,-0.1,-0.2,26,24.0,29.0
0.1,-0.1,-0.2,27,28.0,29.0
0.1,-0.1,-0.2,28,28.0,29.0
0.1,-0.1,-0.2,29,28.0,29.0
0.1,-0.1,-0.2,30,28.0,30.0
0.1,-0.1,-0.2,31,28.0,30.0
0.1,-0.1,-0.2,32,28.0,30.0
0.1,-0.1,-0.2,33,28.0,30.0
0.1,-0.1,-0.2,34,28.0,30.0
0.1,-0.1,-0.2,35,28.0,30.0
0.1,-0.1,-0.2,36,28.0,30.0
0.1,-0.1,-0.2,37,28.0,30.0
0.1,-0.1,-0.2,38,28.0,30.0
0.1,-0.1,-0.2,39,28.0,30.0
0.1,-0.1,-0.2,40,28.0,30.0
0.1,-0.1,-0.2,41,28.0,30.0
0.1,-0.1,-0.2,42,28.0,30.0
0.1,-0.1,-0.2,43,28.0,30.0
0.1,-0.1,-0.2,44,28.0,30.0
0.1,-0.1,-0.2,45,28.0,30.0
0.1,-0.1,-0.2,46,28.0,30.0
0.1,-0.1,-0.2,47,28.0,30.0
0.1,-0.1,-0.2,48,28.0,30.0
0.1,-0.1,-0.2,49,28.0,30.0
0.1,-0.1,-0.2,50,28.0,30.0
0.1,-0.1,-0.2,51,28.0,30.0
0.1,-0.1,-0.2,52,28.0,30.0
0.1,-0.1,-0.2,53,28.0,31.0
0.1,-0.1,-0.2,54,28.0,31.0
0.1,-0.1,-0.2,55,28.0,31.0
0.1,-0.1,-0.2,56,28.0,31.0
0.1,-0.1,-0.2,57,28.0,31.0
0.1,-0.1,-0.2,58,28.0,31.0
